2026-05-06 11:19:53.326 [info] 2026-04-26 10:09:50: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/5b2b1102-5437-4b34-a385-c93bc7dc48e2.yaml for TextDocument: file:///tmp/5501e4f0-3467-411c-a4a4-c7d1cd4b4e1c, InsertPosition: Ln:0, Col:0
2026-04-29 21:33:57: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/34b87723-010e-4e7d-af7d-1c4a8bd0dbc9.ts for TextDocument: file:///tmp/b0ad87dd-bb78-4f5b-a48a-7853bdc410d7, InsertPosition: Ln:0, Col:0

2026-04-29 21:33:57: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/b0ad87dd-bb78-4f5b-a48a-7853bdc410d7, InsertPosition: Ln:0, Col:0

2026-04-29 21:33:58: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/b0ad87dd-bb78-4f5b-a48a-7853bdc410d7, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:11: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/f8e3e0ae-5e22-46c6-9848-eddaca2c96cf, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:11: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/f8e3e0ae-5e22-46c6-9848-eddaca2c96cf, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:11: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/f8e3e0ae-5e22-46c6-9848-eddaca2c96cf, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:11: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/f8e3e0ae-5e22-46c6-9848-eddaca2c96cf, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:43: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/f8e3e0ae-5e22-46c6-9848-eddaca2c96cf.ts for TextDocument: file:///tmp/05c5d502-ceb7-4be5-9dcd-0ee62d403757, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:43: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/05c5d502-ceb7-4be5-9dcd-0ee62d403757, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:43: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/05c5d502-ceb7-4be5-9dcd-0ee62d403757, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:44: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/05c5d502-ceb7-4be5-9dcd-0ee62d403757, InsertPosition: Ln:0, Col:0

2026-04-29 21:52:44: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/05c5d502-ceb7-4be5-9dcd-0ee62d403757, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:19: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/fcd9c29f-1c43-4037-b235-6c20ad034814, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:19: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/fcd9c29f-1c43-4037-b235-6c20ad034814, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:19: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/fcd9c29f-1c43-4037-b235-6c20ad034814, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:20: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/fcd9c29f-1c43-4037-b235-6c20ad034814, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:20: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/fcd9c29f-1c43-4037-b235-6c20ad034814, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:30: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/825d20f9-32ea-484f-aa7e-b44b53b1c72b, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:30: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/825d20f9-32ea-484f-aa7e-b44b53b1c72b, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:30: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/825d20f9-32ea-484f-aa7e-b44b53b1c72b, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:30: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/825d20f9-32ea-484f-aa7e-b44b53b1c72b, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:31: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/7d40b3fa-550a-4138-9e46-b584184ece77.ts for TextDocument: file:///tmp/825d20f9-32ea-484f-aa7e-b44b53b1c72b, InsertPosition: Ln:0, Col:0

2026-04-29 21:53:31: Accepted generated code with a RAG citation from repo -  and Filepath: /tmp/b3fc3cac-bc57-4627-a641-f76656cd5104.ts for TextDocument: file:///tmp/825d20f9-32ea-484f-aa7e-b44b53b1c72b, InsertPosition: Ln:0, Col:0

2026-04-29 22:14:00: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/.git/COMMIT_EDITMSG for TextDocument: file:///home/yomz84_dm/Sesewa.ng/.git/COMMIT_EDITMSG, InsertPosition: Ln:0, Col:0

2026-04-30 23:12:34: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/firestore.rules, InsertPosition: Ln:0, Col:0

2026-04-30 23:12:34: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/firestore.rules for TextDocument: file:///home/yomz84_dm/Sesewa.ng/firestore.rules, InsertPosition: Ln:0, Col:0

2026-04-30 23:12:34: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/firebase.json, InsertPosition: Ln:0, Col:0

2026-04-30 23:13:20: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:0, Col:0

2026-04-30 23:13:20: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:0, Col:0

2026-04-30 23:13:20: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:0, Col:0

2026-04-30 23:23:38: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/.git/COMMIT_EDITMSG for TextDocument: file:///home/yomz84_dm/Sesewa.ng/.git/COMMIT_EDITMSG, InsertPosition: Ln:0, Col:0

2026-04-30 23:30:44: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:144, Col:7

2026-04-30 23:30:44: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:144, Col:7

2026-04-30 23:30:44: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:144, Col:7

2026-05-02 22:30:35: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/.env.example, InsertPosition: Ln:3, Col:0

2026-05-02 22:50:41: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/firestore.rules for TextDocument: file:///home/yomz84_dm/Sesewa.ng/firestore.rules, InsertPosition: Ln:0, Col:0

2026-05-03 16:28:29: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/src/firebase.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/src/firebase.ts, InsertPosition: Ln:0, Col:0

2026-05-03 16:28:29: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/src/firebase.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/src/firebase.ts, InsertPosition: Ln:0, Col:0

2026-05-03 16:28:29: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/src/firebase.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/src/firebase.ts, InsertPosition: Ln:0, Col:0

2026-05-03 21:40:50: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:11, Col:0

2026-05-03 21:40:50: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:11, Col:0

2026-05-03 21:42:37: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/Sesewa.ng/server.ts for TextDocument: file:///home/yomz84_dm/Sesewa.ng/server.ts, InsertPosition: Ln:79, Col:0

2026-05-04 21:56:59: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/server.ts for TextDocument: file:///home/yomz84_dm/server.ts, InsertPosition: Ln:0, Col:0

2026-05-04 22:12:27: Accepted generated code with a RAG citation from repo -  and Filepath: /home/yomz84_dm/src/App.tsx for TextDocument: file:///home/yomz84_dm/src/App.tsx, InsertPosition: Ln:0, Col:0


